City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Laguna,US,2021-02-03 06:28:36,38.421,-121.4238,50.0,81,1,6.91
129,Bluff,NZ,2021-02-03 06:26:15,-46.6,168.3333,55.98,69,51,13.24
130,Grand Gaube,MU,2021-02-03 06:28:08,-20.0064,57.6608,86.0,65,3,11.01
131,Edd,ER,2021-02-03 06:28:43,13.9297,41.6925,82.71,35,11,8.63
132,Marzuq,YE,2021-02-03 06:27:19,14.4,46.4667,67.64,24,0,2.77
133,Ponta Delgada,PT,2021-02-03 06:27:00,37.7333,-25.6667,55.4,71,40,26.46
134,Gat,IL,2021-02-03 06:25:05,31.61,34.7642,68.0,56,16,1.99
135,Margate,GB,2021-02-03 06:26:18,51.3813,1.3862,48.0,82,100,1.99
136,Yatou,CN,2021-02-03 06:28:44,37.15,122.3833,42.28,66,16,20.02
137,Geraldton,AU,2021-02-03 06:26:41,-28.7667,114.6,84.2,58,40,25.32
138,Carnarvon,AU,2021-02-03 06:26:16,-24.8667,113.6333,82.4,100,90,20.71
139,Emba,KZ,2021-02-03 06:26:21,48.8264,58.1442,31.21,96,100,10.47
140,Barentu,ER,2021-02-03 06:28:44,15.1139,37.5928,76.12,37,0,4.38
141,Lorengau,PG,2021-02-03 06:26:30,-2.0226,147.2712,82.72,78,90,9.55
142,Ketchikan,US,2021-02-03 06:27:12,55.3422,-131.6461,35.6,75,1,10.36
143,Arraial Do Cabo,BR,2021-02-03 06:26:25,-22.9661,-42.0278,75.61,89,0,22.21
144,Onguday,RU,2021-02-03 06:26:57,50.75,86.15,28.63,89,83,2.37
145,Kaeo,NZ,2021-02-03 06:28:04,-35.1,173.7833,73.0,65,17,7.0
146,Makakilo City,US,2021-02-03 06:27:27,21.3469,-158.0858,75.2,73,1,12.66
147,Voznesenye,RU,2021-02-03 06:28:45,61.0106,35.4781,18.01,97,100,8.86
148,Yelizovo,RU,2021-02-03 06:28:45,53.1873,158.3805,17.6,93,90,4.47
149,Muros,ES,2021-02-03 06:27:03,42.7762,-9.0603,53.01,87,75,13.8
150,Wanaka,NZ,2021-02-03 06:26:42,-44.7,169.15,74.62,40,12,3.29
151,Lompoc,US,2021-02-03 06:26:52,34.6391,-120.4579,51.8,100,90,3.44
152,Esperance,AU,2021-02-03 06:26:21,-33.8667,121.9,75.2,57,90,21.85
153,Kurilsk,RU,2021-02-03 06:28:45,45.2333,147.8833,12.4,89,100,27.18
154,Tabas,IR,2021-02-03 06:26:44,33.5959,56.9244,48.2,34,0,2.3
155,East London,ZA,2021-02-03 06:26:28,-33.0153,27.9116,80.6,61,0,5.75
