City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,Aloleng,PH,79.09,broken clouds,16.1307,119.7824,
653,Concordia,AR,75.99,clear sky,-31.393,-58.0209,
663,Kulhudhuffushi,MV,81.7,broken clouds,6.6221,73.07,
666,Mana,GF,77.22,broken clouds,5.6592,-53.7767,
674,Piacabucu,BR,79.27,scattered clouds,-10.4056,-36.4344,
678,Moundou,TD,75.36,scattered clouds,8.5667,16.0833,
681,Mazatan,MX,80.6,clear sky,14.8667,-92.45,
687,Saint-Leu,RE,75.99,scattered clouds,-21.15,55.2833,
695,Wewak,PG,79.29,overcast clouds,-3.5534,143.6268,
699,Maltahohe,,78.64,clear sky,-24.8333,16.9833,
700,Gondanglegi,ID,76.86,broken clouds,-7.7479,112.0132,
704,Punta Cardon,VE,77.76,overcast clouds,11.6581,-70.215,
