City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Ituango,CO,7.1712,-75.764,76.71,62,99,2.08,overcast clouds
184,Bilma,NE,18.6853,12.9164,82.53,13,65,9.4,broken clouds
185,Samarai,PG,-10.6167,150.6667,82.31,78,47,6.02,scattered clouds
186,Farah,AF,32.5,62.5,57.83,28,43,3.94,scattered clouds
187,Kodiak,US,57.79,-152.4072,28.4,59,1,3.44,clear sky
188,Elko,US,41.0002,-115.5012,34.0,56,0,13.0,clear sky
189,Egvekinot,RU,66.3167,-179.1667,-9.08,78,0,13.4,clear sky
190,Prince Rupert,CA,54.3161,-130.3201,33.8,86,1,6.91,clear sky
191,Trairi,BR,-3.2778,-39.2689,89.96,51,15,13.67,few clouds
192,Kishapu,TZ,-3.6167,33.8667,76.57,61,75,6.58,broken clouds
193,Sandwick,GB,60.0,-1.25,33.8,60,75,8.05,broken clouds
194,Sicuani,PE,-14.2694,-71.2261,59.61,47,63,5.1,broken clouds
195,Clyde River,CA,70.4692,-68.5914,-7.6,84,75,11.5,broken clouds
196,Phalodi,IN,27.1333,72.3667,63.86,27,0,4.03,clear sky
197,Tecoanapa,MX,16.5167,-98.75,83.66,58,21,1.25,few clouds
198,Yarmouth,US,41.7057,-70.2286,42.01,65,90,13.8,moderate rain
199,Gizo,SB,-8.103,156.8419,82.54,75,49,7.47,light rain
200,Port Augusta,AU,-32.5,137.7667,64.4,72,0,11.5,clear sky
201,Buala,SB,-8.145,159.5921,79.21,82,92,5.19,overcast clouds
202,Tilichiki,RU,60.4667,166.1,10.06,95,100,15.03,light snow
203,Severo-Kurilsk,RU,50.6789,156.125,19.8,89,94,18.63,overcast clouds
204,Cedeno,CO,7.0464,-72.1634,74.37,76,100,0.29,overcast clouds
205,Brigantine,US,39.4101,-74.3646,41.0,93,90,12.66,moderate rain
206,Hofn,IS,64.2539,-15.2082,35.6,80,75,9.22,broken clouds
207,Olafsvik,IS,64.8945,-23.7142,34.29,83,0,14.5,clear sky
208,Shubarkuduk,KZ,49.1447,56.4872,14.74,96,100,10.94,overcast clouds
209,Manokwari,ID,-0.8667,134.0833,78.69,82,95,3.42,overcast clouds
210,Storslett,NO,69.7678,21.0247,24.3,93,100,10.49,light snow
211,Salta,AR,-24.7859,-65.4117,77.0,53,20,5.75,few clouds
212,Kearney,US,40.6995,-99.0815,3.2,85,90,19.57,light snow
213,Shambu,ET,9.5667,37.1,58.78,35,76,2.86,broken clouds
214,Ust-Maya,RU,60.4167,134.5333,-34.13,82,33,2.93,scattered clouds
215,Covington,US,39.0837,-84.5086,19.0,62,1,11.5,clear sky
216,Araouane,ML,18.9048,-3.5265,78.12,16,92,15.43,overcast clouds
217,Salamiyah,SY,35.0113,37.0532,56.35,70,0,10.07,clear sky
218,Houma,US,29.5958,-90.7195,51.8,76,90,12.66,overcast clouds
219,Madras,IN,13.0878,80.2785,77.0,69,20,5.75,haze
220,Magalia,US,39.8121,-121.5783,44.01,93,20,5.95,few clouds
221,Pangoa,PE,-12.1167,-73.0,77.18,89,100,1.52,overcast clouds
222,Bilibino,RU,68.0546,166.4372,-1.68,72,0,5.35,clear sky
223,Saint-Leu,RE,-21.15,55.2833,82.4,74,75,6.91,light rain
224,Acapulco,MX,16.8634,-99.8901,77.0,78,75,5.75,broken clouds
225,Merritt Island,US,28.5392,-80.672,71.6,94,40,5.75,scattered clouds
226,Bowen,AU,-20.0167,148.2333,78.8,94,100,5.75,overcast clouds
227,Olinda,BR,-8.0089,-34.8553,84.2,58,40,10.36,scattered clouds
228,Atikokan,CA,48.7555,-91.6216,-25.04,84,55,8.95,broken clouds
229,Burnie,AU,-41.0667,145.9167,57.0,69,74,6.29,broken clouds
230,Leningradskiy,RU,69.3833,178.4167,-13.67,77,7,5.41,clear sky
231,Alofi,NU,-19.0595,-169.9187,77.0,94,80,4.61,broken clouds
232,Lompoc,US,34.6391,-120.4579,50.0,93,1,4.61,clear sky
233,Sharjah,AE,25.3573,55.4033,73.4,60,20,6.91,few clouds
234,Matara,LK,5.9485,80.5353,76.89,87,31,1.9,scattered clouds
235,Ollioules,FR,43.1352,5.848,54.0,69,80,5.99,broken clouds
236,Nikolayevka,RU,53.1257,47.2041,-3.14,88,100,13.62,overcast clouds
237,North Bend,US,43.4065,-124.2243,44.6,93,90,6.91,mist
238,Iqaluit,CA,63.7506,-68.5145,24.8,68,75,18.41,broken clouds
239,Ternate,ID,0.8,127.4,81.18,80,77,4.29,broken clouds
240,Nishinomiya,JP,34.7167,135.3333,44.01,86,0,2.82,clear sky
241,Nosy Varika,MG,-20.5833,48.5333,81.86,80,80,12.86,broken clouds
242,Agirish,RU,61.9247,63.0231,-15.93,89,100,11.72,light snow
243,Skelleftea,SE,64.7507,20.9528,21.2,79,0,5.75,clear sky
244,Eyl,SO,7.9803,49.8164,77.29,72,0,19.04,clear sky
245,Souillac,MU,-20.5167,57.5167,80.6,89,40,11.5,scattered clouds
246,Altay,CN,47.8667,88.1167,21.65,83,96,2.33,overcast clouds
247,Khobi,GE,42.3156,41.8987,46.4,93,90,5.75,light rain
248,Pandan Niog,PH,6.2282,120.5631,81.28,83,100,11.18,overcast clouds
249,Tselina,RU,46.5338,41.0328,26.06,81,98,7.11,snow
250,Morondava,MG,-20.2833,44.2833,84.18,69,50,5.35,scattered clouds
